역할,역할 표시명,호출 수,입력 토큰 누적,출력 토큰 누적,총 토큰 누적,입력 토큰 누락 수,출력 토큰 누락 수,총 토큰 누락 수,입력 토큰 집계 수,입력 토큰 최소값,입력 토큰 최대값,입력 토큰 평균값,입력 토큰 중앙값,입력 토큰 p90,입력 토큰 p95,입력 토큰 p99,출력 토큰 집계 수,출력 토큰 최소값,출력 토큰 최대값,출력 토큰 평균값,출력 토큰 중앙값,출력 토큰 p90,출력 토큰 p95,출력 토큰 p99,총 토큰 집계 수,총 토큰 최소값,총 토큰 최대값,총 토큰 평균값,총 토큰 중앙값,총 토큰 p90,총 토큰 p95,총 토큰 p99
overall,전체,274,703358,492015,1195373,0,0,0,274,1201.0,4814.0,2567.0,2334.5,3303.0,4584.399999999999,4748.48,274,241.0,6016.0,1795.6751824817518,1661.0,2802.8000000000006,3383.299999999999,5244.409999999993,274,1867.0,10659.0,4362.675182481752,4148.5,5628.500000000001,7061.599999999999,9546.249999999993
actor,actor (행위자),136,354923,204344,559267,0,0,0,136,1648.0,3443.0,2609.7279411764707,2670.5,3225.0,3294.75,3350.2500000000005,136,498.0,3990.0,1502.5294117647059,1462.5,2062.5,2273.0,3015.3000000000025,136,2859.0,6805.0,4112.257352941177,4091.0,4994.5,5232.5,6185.800000000005
coordinator,coordinator (조정),117,301247,247038,548285,0,0,0,117,1526.0,4814.0,2574.7606837606836,2131.0,4640.2,4732.0,4782.8,117,241.0,6016.0,2111.4358974358975,1910.0,3424.8,4571.199999999997,5881.000000000002,117,1867.0,10659.0,4686.196581196581,4299.0,7468.600000000002,9043.799999999997,10193.800000000001
generator,generator (생성),8,9636,16325,25961,0,0,0,8,1201.0,1208.0,1204.5,1204.5,1208.0,1208.0,1208.0,8,1451.0,2817.0,2040.625,1995.5,2488.0,2652.4999999999995,2784.1,8,2659.0,4020.0,3245.125,3199.5,3689.6,3854.7999999999997,3986.96
observer,observer (관찰),5,19070,7473,26543,0,0,0,5,1755.0,4334.0,3814.0,4329.0,4333.2,4333.6,4333.92,5,977.0,2027.0,1494.6,1595.0,1969.4,1998.2,2021.24,5,3638.0,6361.0,5308.6,5320.0,6187.4,6274.2,6343.64
planner,planner (계획),8,18482,16835,35317,0,0,0,8,1798.0,3038.0,2310.25,2232.5,3003.7,3020.85,3034.57,8,774.0,3370.0,2104.375,2089.0,3069.7,3219.85,3339.97,8,3226.0,5851.0,4414.625,4430.5,5448.5,5649.75,5810.75
