행위자 ID,행위자 이름,발신 액션 수,수신 액션 수,발신 연결 수,수신 연결 수,직접 연결 수,상대 수,내향 중심성,외향 중심성,중개 중심성,허브 점수,권위 점수,페이지랭크,코어 번호,유효 크기
founder_ceo,Founder CEO,16,37,22,37,59,5,0.7142857142857142,0.2857142857142857,0.19047619047619047,0.11054148478103795,0.3988166287865161,0.3016681070834603,2,4.169491525423729
cto_cofounder,Co-founder CTO,11,33,19,33,52,4,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.1207865674762601,0.34411571539104446,0.320147980176946,2,3.173076923076923
lead_investor_partner,Lead Investor Partner,10,15,20,15,35,4,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.19687220305381292,0.07303227779109465,0.11522922662765907,2,3.0
staff_engineer,Staff Engineer,6,9,10,9,19,2,0.14285714285714285,0.2857142857142857,0.0,0.19687220305381292,0.05699300979293617,0.1476509412201646,2,1.0
independent_director,Independent Director,6,6,11,6,17,2,0.14285714285714285,0.2857142857142857,0.0,0.022118732050365485,0.01043669953284812,0.037080510328649036,2,1.6911764705882355
cfo,CFO,6,6,10,6,16,2,0.14285714285714285,0.2857142857142857,0.0,0.022118732050365485,0.010436699532848131,0.035941984563120755,2,1.609375
client_cto,Client CTO,7,3,7,3,10,2,0.14285714285714285,0.14285714285714285,0.0,0.10568379333466044,0.10616896917271229,0.023531250000000004,2,1.5653846153846154
tech_journalist,Tech Journalist,5,0,10,0,10,3,0.0,0.42857142857142855,0.0,0.2250062841996847,-0.0,0.018750000000000003,2,1.8653846153846154
