입력 토큰 bin 시작,입력 토큰 bin 끝,출력 토큰 bin 시작,출력 토큰 bin 끝,호출 수,TTFT 표본 수,소요 시간 표본 수,TTFT p90,TTFT p95,TTFT p99,소요 시간 p90,소요 시간 p95,소요 시간 p99
1000,1999,0,999,14,14,14,4.097781916696112,4.10512196260388,4.112328858928522,14.275380900000002,14.8248725,14.9913921
1000,1999,1000,1999,39,39,39,4.26442094160011,4.2925307374884145,4.335051085430896,41.206476,41.4821392,41.826891520000004
1000,1999,2000,2999,11,11,11,4.207870374986669,4.308589083491825,4.389164050295949,56.612946,58.641743500000004,60.2647815
2000,2999,0,999,19,19,19,6.024667583196424,6.101112804803416,6.120817194568808,24.6152718,24.7334383,24.93992926
2000,2999,1000,1999,80,80,80,6.11164827059838,6.211420439265202,6.369616218748269,42.1985851,43.0412847,44.43999421
2000,2999,2000,2999,31,31,31,6.0422993329993915,6.048904333496466,6.053908775106538,60.338647,62.249785,63.1658365
2000,2999,3000,3999,7,7,7,5.67649433320621,5.86220639560488,6.010776045523817,77.7243954,81.52042169999999,84.55724273999999
2000,2999,4000,4999,1,1,1,4.921894958009943,4.921894958009943,4.921894958009943,90.532688,90.532688,90.532688
2000,2999,6000,6999,1,1,1,4.882129208010156,4.882129208010156,4.882129208010156,125.236213,125.236213,125.236213
3000,3999,0,999,4,4,4,6.900913395502721,6.911252614251862,6.919523989251174,25.8471495,25.910873249999998,25.96185225
3000,3999,1000,1999,40,40,40,7.026525666395901,7.050311872914608,7.22979044362728,41.9674855,44.310061899999994,45.54817783
3000,3999,2000,2999,5,5,5,7.082313325209543,7.1018704336078375,7.1175161203264725,54.7758994,55.0005722,55.18031044
3000,3999,3000,3999,1,1,1,7.110318457998801,7.110318457998801,7.110318457998801,69.671807,69.671807,69.671807
4000,4999,0,999,2,2,2,9.132262012214051,9.136625922615348,9.140117050936388,28.6852608,28.6969329,28.706270579999998
4000,4999,1000,1999,1,1,1,9.15988908399595,9.15988908399595,9.15988908399595,40.960165,40.960165,40.960165
4000,4999,2000,2999,8,8,8,9.974117787394789,9.988233622694679,9.999526290934591,65.2883437,67.19741834999999,68.72467807
4000,4999,3000,3999,3,3,3,10.087689042184502,10.092377563082845,10.09612837980152,84.0735014,84.4480937,84.74776754
4000,4999,4000,4999,4,4,4,9.856870871497085,9.87857772774878,9.895943212750135,108.1387409,108.15595145,108.16971989000001
4000,4999,5000,5999,3,3,3,9.941814008011715,9.945736795512493,9.948875025513116,131.385661,132.3269075,133.07990470000001
