행위자 ID,행위자 이름,발신 액션 수,수신 액션 수,발신 연결 수,수신 연결 수,직접 연결 수,상대 수,내향 중심성,외향 중심성,중개 중심성,허브 점수,권위 점수,페이지랭크,코어 번호,유효 크기
cfo,CFO,6,9,8,9,17,3,0.42857142857142855,0.2857142857142857,0.011904761904761904,0.21922359359558485,0.3903882032022075,0.20607109910177984,2,1.9411764705882353
founder-ceo,창업자 CEO,7,9,8,9,17,3,0.42857142857142855,0.2857142857142857,0.011904761904761904,0.21922359359558485,0.3903882032022076,0.20607109910177984,2,1.9411764705882353
lead-investor-partner,리드 투자사 파트너,6,8,8,8,16,2,0.2857142857142857,0.2857142857142857,0.0,0.28077640640441515,0.21922359359558488,0.19896891248216603,2,1.0
cofounder-cto,공동창업자 CTO,2,1,2,1,3,1,0.14285714285714285,0.14285714285714285,0.0,-0.0,8.243743344582344e-18,0.1587301586693894,1,1.0
client-cto,핵심 고객사 CTO,2,2,1,2,3,1,0.14285714285714285,0.14285714285714285,0.0,2.9645473564850995e-18,-0.0,0.1587301586693894,1,1.0
whistleblower-engineer,내부고발자,1,0,2,0,2,2,0.0,0.2857142857142857,0.0,0.28077640640441515,-0.0,0.023809523991831838,2,1.0
independent-director,독립 사외이사,3,0,0,0,0,0,0.0,0.0,0.0,-0.0,-0.0,0.023809523991831838,0,
tech-reporter,테크 전문 기자,2,0,0,0,0,0,0.0,0.0,0.0,-0.0,-0.0,0.023809523991831838,0,
