역할,역할 표시명,호출 수,입력 토큰 누적,출력 토큰 누적,총 토큰 누적,입력 토큰 누락 수,출력 토큰 누락 수,총 토큰 누락 수,입력 토큰 집계 수,입력 토큰 최소값,입력 토큰 최대값,입력 토큰 평균값,입력 토큰 중앙값,입력 토큰 p90,입력 토큰 p95,입력 토큰 p99,출력 토큰 집계 수,출력 토큰 최소값,출력 토큰 최대값,출력 토큰 평균값,출력 토큰 중앙값,출력 토큰 p90,출력 토큰 p95,출력 토큰 p99,총 토큰 집계 수,총 토큰 최소값,총 토큰 최대값,총 토큰 평균값,총 토큰 중앙값,총 토큰 p90,총 토큰 p95,총 토큰 p99
overall,전체,137,345482,136010,481492,0,0,0,137,1264.0,4808.0,2521.7664233576643,2354.0,3289.0,4580.4,4761.279999999999,137,39.0,2170.0,992.7737226277372,942.0,1498.0000000000002,1700.4,2042.4799999999987,137,2021.0,6959.0,3514.5401459854015,3351.0,4419.0,6067.999999999999,6699.759999999997
actor,actor (행위자),61,160341,47449,207790,0,0,0,61,1857.0,3355.0,2628.5409836065573,2700.0,3204.0,3279.0,3324.4,61,39.0,1100.0,777.8524590163935,780.0,1026.0,1055.0,1094.6,61,2557.0,4431.0,3406.3934426229507,3460.0,3922.0,4014.0,4201.2
coordinator,coordinator (조정),55,136426,62726,199152,0,0,0,55,1455.0,4808.0,2480.4727272727273,2021.0,4591.2,4667.2,4797.74,55,143.0,2170.0,1140.4727272727273,1088.0,1701.2,1805.9999999999993,2121.94,55,2021.0,6959.0,3620.9454545454546,3297.0,6267.6,6515.8,6869.360000000001
generator,generator (생성),8,10173,11406,21579,0,0,0,8,1264.0,1277.0,1271.625,1273.5,1274.9,1275.95,1276.79,8,1255.0,1595.0,1425.75,1435.5,1539.7,1567.35,1589.47,8,2532.0,2859.0,2697.375,2707.0,2810.7,2834.85,2854.17
observer,observer (관찰),5,20058,4411,24469,0,0,0,5,1751.0,4582.0,4011.6,4577.0,4581.2,4581.6,4581.92,5,663.0,1256.0,882.2,881.0,1125.6,1190.8,1242.96,5,2414.0,5838.0,4893.8,5461.0,5705.6,5771.8,5824.76
planner,planner (계획),8,18484,10018,28502,0,0,0,8,1800.0,2961.0,2310.5,2269.5,2926.0,2943.5,2957.5,8,727.0,1786.0,1252.25,1404.5,1655.1,1720.55,1772.9099999999999,8,2573.0,4560.0,3562.75,3345.5,4386.4,4473.2,4542.64
