라운드,누적 채택 액션 수,참여 행위자 수,연결 수,한 그룹으로 이어진 비율,실제 연결 비율,평균 경로 깊이,엣지 성장률,활성 행위자 성장률,상위 20% 행위자 점유율,가장 많이 연결된 1명의 비중,상위 3명 점유율,행위자 쏠림 HHI,행위자 쏠림 Gini,상위 1개 연결 점유율,상위 3개 연결 점유율,연결 쏠림 HHI,연결 쏠림 Gini,신규 행위자 수,신규 연결 수,직접 연결 중심 ID,직접 연결 중심 이름,직접 연결 중심 점수,중간 연결 중심 ID,중간 연결 중심 이름,중간 연결 중심 점수,간접 영향 중심 ID,간접 영향 중심 이름,간접 영향 중심 점수
1,4,0,0,0.125,0.0,,,,,,,,,,,,,0,0,,,,,,,,,
2,8,2,1,0.25,0.017857142857142856,1.0,1.0,2.0,0.5,0.5,1.0,0.5,0.0,1.0,1.0,1.0,0.0,2,1,cofounder-cto,공동창업자 CTO,1.0,,,,client-cto,핵심 고객사 CTO,0.20903942711395773
3,11,5,3,0.375,0.05357142857142857,1.0,2.0,3.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.13333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.0,3,2,founder-ceo,창업자 CEO,2.0,,,,client-cto,핵심 고객사 CTO,0.1907213762221036
4,15,5,4,0.375,0.07142857142857142,1.0,1.0,0.0,0.3,0.3,0.8,0.24,0.24,0.4,0.8,0.28,0.15,0,1,founder-ceo,창업자 CEO,2.0,,,,client-cto,핵심 고객사 CTO,0.3303018683048038
5,19,5,8,0.375,0.14285714285714285,1.0,4.0,0.0,0.2727272727272727,0.2727272727272727,0.7272727272727273,0.21487603305785122,0.14545454545454545,0.18181818181818182,0.5454545454545454,0.14049586776859505,0.17045454545454544,0,4,founder-ceo,창업자 CEO,2.0,,,,founder-ceo,창업자 CEO,0.18348603669276936
6,22,5,8,0.375,0.14285714285714285,1.0,0.0,0.0,0.29411764705882354,0.29411764705882354,0.8235294117647058,0.24221453287197234,0.23529411764705882,0.17647058823529413,0.47058823529411764,0.13494809688581316,0.13970588235294118,0,0,founder-ceo,창업자 CEO,2.0,,,,founder-ceo,창업자 CEO,0.18348603669276936
7,26,6,10,0.5,0.17857142857142858,1.0909090909090908,2.0,1.0,0.58,0.3,0.84,0.24480000000000002,0.36,0.16,0.44,0.12,0.244,1,2,founder-ceo,창업자 CEO,3.0,founder-ceo,창업자 CEO,0.023809523809523808,founder-ceo,창업자 CEO,0.20607109910177984
8,29,6,10,0.5,0.17857142857142858,1.0909090909090908,0.0,0.0,0.5862068965517241,0.29310344827586204,0.8620689655172413,0.25445897740784773,0.3735632183908046,0.13793103448275862,0.41379310344827586,0.1224732461355529,0.23793103448275862,0,0,founder-ceo,창업자 CEO,3.0,founder-ceo,창업자 CEO,0.011904761904761904,founder-ceo,창업자 CEO,0.20607109910177984
