역할,역할 표시명,호출 수,입력 토큰 누적,출력 토큰 누적,총 토큰 누적,입력 토큰 누락 수,출력 토큰 누락 수,총 토큰 누락 수,입력 토큰 집계 수,입력 토큰 최소값,입력 토큰 최대값,입력 토큰 평균값,입력 토큰 중앙값,입력 토큰 p90,입력 토큰 p95,입력 토큰 p99,출력 토큰 집계 수,출력 토큰 최소값,출력 토큰 최대값,출력 토큰 평균값,출력 토큰 중앙값,출력 토큰 p90,출력 토큰 p95,출력 토큰 p99,총 토큰 집계 수,총 토큰 최소값,총 토큰 최대값,총 토큰 평균값,총 토큰 중앙값,총 토큰 p90,총 토큰 p95,총 토큰 p99
overall,전체,121,311363,131582,442945,0,0,0,121,1292.0,4634.0,2573.2479338842977,2488.0,3405.0,4497.0,4611.6,121,563.0,2261.0,1087.4545454545455,1002.0,1481.0,1904.0,2101.2,121,2159.0,6744.0,3660.7024793388427,3488.0,4523.0,5517.0,6176.4
actor,actor (행위자),55,144188,51139,195327,0,0,0,55,1807.0,3170.0,2621.6,2616.0,3062.6,3091.7,3151.64,55,689.0,1112.0,929.8,936.0,1037.4,1073.2,1108.22,55,2757.0,4134.0,3551.4,3531.0,3996.0,4097.3,4115.1
coordinator,coordinator (조정),44,115469,55603,171072,0,0,0,44,1550.0,4634.0,2624.2954545454545,2284.0,4422.200000000001,4494.9,4597.02,44,563.0,2261.0,1263.7045454545455,1114.0,1946.7000000000003,2041.1000000000001,2185.75,44,2159.0,6744.0,3888.0,3338.0,5854.0,6158.35,6501.05
fixer,fixer (JSON 복구),1,1950,2105,4055,0,0,0,1,1950.0,1950.0,1950.0,1950.0,1950.0,1950.0,1950.0,1,2105.0,2105.0,2105.0,2105.0,2105.0,2105.0,2105.0,1,4055.0,4055.0,4055.0,4055.0,4055.0,4055.0,4055.0
generator,generator (생성),8,10403,9478,19881,0,0,0,8,1292.0,1305.0,1300.375,1301.0,1305.0,1305.0,1305.0,8,1062.0,1388.0,1184.75,1172.5,1312.4,1350.2,1380.44,8,2364.0,2680.0,2485.125,2475.0,2610.0,2645.0,2673.0
observer,observer (관찰),5,20175,3897,24072,0,0,0,5,1748.0,4612.0,4035.0,4607.0,4611.2,4611.6,4611.92,5,712.0,905.0,779.4,759.0,856.2,880.6,900.12,5,2507.0,5517.0,4814.4,5336.0,5467.4,5492.2,5512.04
planner,planner (계획),8,19178,9360,28538,0,0,0,8,1805.0,3269.0,2397.25,2270.0,3234.7,3251.85,3265.57,8,745.0,1848.0,1170.0,1108.0,1445.5,1646.7499999999998,1807.7499999999998,8,2894.0,4447.0,3567.25,3262.5,4396.6,4421.8,4441.96
