라운드,누적 채택 액션 수,참여 행위자 수,연결 수,한 그룹으로 이어진 비율,실제 연결 비율,평균 경로 깊이,엣지 성장률,활성 행위자 성장률,상위 20% 행위자 점유율,가장 많이 연결된 1명의 비중,상위 3명 점유율,행위자 쏠림 HHI,행위자 쏠림 Gini,상위 1개 연결 점유율,상위 3개 연결 점유율,연결 쏠림 HHI,연결 쏠림 Gini,신규 행위자 수,신규 연결 수,직접 연결 중심 ID,직접 연결 중심 이름,직접 연결 중심 점수,중간 연결 중심 ID,중간 연결 중심 이름,중간 연결 중심 점수,간접 영향 중심 ID,간접 영향 중심 이름,간접 영향 중심 점수
1,4,3,6,0.375,0.10714285714285714,1.0,,,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.0,0.16666666666666666,0.5,0.16666666666666666,0.0,3,6,ceo_yooim,창업자 CEO,2.0,,,,ceo_yooim,창업자 CEO,0.26666581170312886
2,7,5,8,0.375,0.14285714285714285,1.0,2.0,2.0,0.25,0.25,0.75,0.21875,0.15,0.125,0.375,0.125,0.0,2,2,ceo_yooim,창업자 CEO,2.0,,,,ceo_yooim,창업자 CEO,0.18348603669276936
3,11,5,8,0.375,0.14285714285714285,1.0,0.0,0.0,0.2692307692307692,0.2692307692307692,0.7692307692307693,0.22485207100591717,0.18461538461538463,0.15384615384615385,0.46153846153846156,0.13609467455621305,0.14423076923076922,0,0,ceo_yooim,창업자 CEO,2.0,,,,ceo_yooim,창업자 CEO,0.18348603669276936
4,13,5,8,0.375,0.14285714285714285,1.0,0.0,0.0,0.25,0.25,0.7142857142857143,0.211734693877551,0.12857142857142856,0.14285714285714285,0.42857142857142855,0.13265306122448978,0.10714285714285714,0,0,ceo_yooim,창업자 CEO,2.0,,,,ceo_yooim,창업자 CEO,0.18348603669276936
5,16,5,8,0.375,0.14285714285714285,1.0,0.0,0.0,0.2647058823529412,0.2647058823529412,0.7058823529411765,0.2110726643598616,0.12941176470588237,0.17647058823529413,0.5294117647058824,0.14186851211072665,0.19852941176470587,0,0,ceo_yooim,창업자 CEO,2.0,,,,ceo_yooim,창업자 CEO,0.18348603669276936
6,20,5,10,0.625,0.17857142857142858,1.2857142857142858,2.0,0.0,0.23809523809523808,0.23809523809523808,0.6428571428571429,0.20294784580498865,0.06666666666666667,0.19047619047619047,0.47619047619047616,0.12471655328798184,0.2714285714285714,0,2,independent_director,독립 사외이사,4.0,independent_director,독립 사외이사,0.09523809523809523,cto_developer,공동창업자 CTO,0.29432797705831787
7,24,5,10,0.625,0.17857142857142858,1.2857142857142858,0.0,0.0,0.24074074074074073,0.24074074074074073,0.6481481481481481,0.2043895747599451,0.07407407407407407,0.18518518518518517,0.48148148148148145,0.12482853223593963,0.27037037037037037,0,0,independent_director,독립 사외이사,4.0,independent_director,독립 사외이사,0.09523809523809523,cto_developer,공동창업자 CTO,0.32436869609663255
