역할,역할 표시명,fixer 호출 수,fixer 세션 수,재시도 수,TTFT 집계 수,TTFT 최소값,TTFT 최대값,TTFT 평균값,TTFT 중앙값,TTFT p90,TTFT p95,TTFT p99,소요 시간 집계 수,소요 시간 최소값,소요 시간 최대값,소요 시간 평균값,소요 시간 중앙값,소요 시간 p90,소요 시간 p95,소요 시간 p99
overall,전체,1,1,1,1,0.9845716669806279,0.9845716669806279,0.9845716669806279,0.9845716669806279,0.9845716669806279,0.9845716669806279,0.9845716669806279,1,30.81369,30.81369,30.81369,30.81369,30.81369,30.81369,30.81369
unknown,알 수 없음,1,1,1,1,0.9845716669806279,0.9845716669806279,0.9845716669806279,0.9845716669806279,0.9845716669806279,0.9845716669806279,0.9845716669806279,1,30.81369,30.81369,30.81369,30.81369,30.81369,30.81369,30.81369
