행위자 ID,행위자 이름,발신 액션 수,수신 액션 수,발신 연결 수,수신 연결 수,직접 연결 수,상대 수,내향 중심성,외향 중심성,중개 중심성,허브 점수,권위 점수,페이지랭크,코어 번호,유효 크기
independent_director,독립 사외이사,4,5,8,5,13,4,0.2857142857142857,0.5714285714285714,0.09523809523809523,0.43040292655585166,0.13919414688829673,0.09945168595077661,2,3.076923076923077
cfo_financial,CFO,5,6,5,6,11,2,0.2857142857142857,0.14285714285714285,0.0,0.09955185753423228,0.19910371506846453,0.32436869609663255,2,1.7575757575757576
cto_developer,공동창업자 CTO,4,7,4,7,11,2,0.2857142857142857,0.14285714285714285,0.0,0.09955185753423226,0.19910371506846455,0.32436869609663255,2,1.7575757575757576
ceo_yooim,창업자 CEO,4,3,8,3,11,2,0.2857142857142857,0.2857142857142857,0.0,0.18524667918784193,0.2312992114873871,0.08462105725825371,2,1.4545454545454546
investor_partner,리드 투자사 파트너,6,6,2,6,8,2,0.2857142857142857,0.2857142857142857,0.0,0.18524667918784193,0.2312992114873871,0.08462105725825371,2,1.0
whistleblower,Staff 엔지니어 내부고발자,0,0,0,0,0,0,0.0,0.0,0.0,-0.0,-0.0,0.027522935779816904,0,
tech_journalist,테크 전문 기자,1,0,0,0,0,0,0.0,0.0,0.0,-0.0,-0.0,0.027522935779816904,0,
customer_cto,핵심 고객사 CTO,0,0,0,0,0,0,0.0,0.0,0.0,-0.0,-0.0,0.027522935779816904,0,
