행위자 ID,행위자 이름,발신 액션 수,수신 액션 수,발신 연결 수,수신 연결 수,직접 연결 수,상대 수,내향 중심성,외향 중심성,중개 중심성,허브 점수,권위 점수,페이지랭크,코어 번호,유효 크기
lead_investor_partner,리드 투자사 파트너,5,5,4,5,9,2,0.14285714285714285,0.2857142857142857,0.0,0.3333333333333333,0.1666666666666667,0.22193065018960034,2,1.8518518518518519
founder_ceo,창업자 CEO,5,3,6,3,9,2,0.14285714285714285,0.2857142857142857,0.0,0.33333333333333337,0.16666666666666666,0.2127266739864062,2,1.8518518518518519
independent_director,독립 사외이사,0,5,0,5,5,3,0.42857142857142855,0.0,0.0,-0.0,0.5,0.19396431457362334,2,2.6
cofounder_cto,공동창업자 CTO,3,0,4,0,4,2,0.0,0.2857142857142857,0.0,0.3333333333333333,-0.0,0.07124764613836304,1,2.0
cfo,CFO,1,1,0,1,1,1,0.14285714285714285,0.0,0.0,-0.0,0.16666666666666666,0.08638777669691808,1,1.0
staff_whistleblower,Staff 엔지니어 내부고발자,0,0,0,0,0,0,0.0,0.0,0.0,-0.0,-0.0,0.07124764613836304,0,
tech_journalist,테크 전문 기자,0,0,0,0,0,0,0.0,0.0,0.0,-0.0,-0.0,0.07124764613836304,0,
key_customer_cto,핵심 고객사 CTO,0,0,0,0,0,0,0.0,0.0,0.0,-0.0,-0.0,0.07124764613836304,0,
