역할,역할 표시명,호출 수,입력 토큰 누적,출력 토큰 누적,총 토큰 누적,입력 토큰 누락 수,출력 토큰 누락 수,총 토큰 누락 수,입력 토큰 집계 수,입력 토큰 최소값,입력 토큰 최대값,입력 토큰 평균값,입력 토큰 중앙값,입력 토큰 p90,입력 토큰 p95,입력 토큰 p99,출력 토큰 집계 수,출력 토큰 최소값,출력 토큰 최대값,출력 토큰 평균값,출력 토큰 중앙값,출력 토큰 p90,출력 토큰 p95,출력 토큰 p99,총 토큰 집계 수,총 토큰 최소값,총 토큰 최대값,총 토큰 평균값,총 토큰 중앙값,총 토큰 p90,총 토큰 p95,총 토큰 p99
overall,전체,94,238930,243465,482395,0,0,0,94,1303.0,5304.0,2541.808510638298,2325.0,3587.8,4610.899999999996,5263.08,94,649.0,9254.0,2590.053191489362,2483.0,3920.1000000000004,4056.4999999999995,6496.54999999998,94,2170.0,11676.0,5131.86170212766,4776.0,6706.2,8299.849999999999,9331.469999999983
actor,actor (행위자),38,97136,87946,185082,0,0,0,38,1988.0,3420.0,2556.2105263157896,2508.0,3050.3,3213.6,3401.5,38,694.0,9254.0,2314.3684210526317,2017.5,3400.2000000000003,6056.95,8156.950000000008,38,3140.0,11676.0,4870.578947368421,4506.0,5696.3,8467.3,10552.310000000009
coordinator,coordinator (조정),35,94564,88792,183356,0,0,0,35,1521.0,5304.0,2701.8285714285716,2266.0,5142.400000000001,5231.3,5289.04,35,649.0,4022.0,2536.9142857142856,2475.0,3749.600000000001,3980.1,4018.94,35,2170.0,9155.0,5238.742857142857,5217.0,7391.200000000001,8075.099999999998,8965.619999999999
generator,generator (생성),8,10506,28866,39372,0,0,0,8,1303.0,1320.0,1313.25,1314.5,1317.9,1318.95,1319.79,8,3185.0,4089.0,3608.25,3595.0,4054.0,4071.5,4085.5,8,4502.0,5392.0,4921.5,4912.0,5364.7,5378.35,5389.27
observer,observer (관찰),5,18951,13631,32582,0,0,0,5,1586.0,4347.0,3790.2,4343.0,4345.4,4346.2,4346.84,5,2113.0,3883.0,2726.2,2320.0,3537.4,3710.2,3848.44,5,4605.0,8226.0,6516.4,6628.0,7602.4,7914.2,8163.64
planner,planner (계획),8,17773,24230,42003,0,0,0,8,1658.0,3075.0,2221.625,2076.5,3048.4,3061.7,3072.34,8,1650.0,4178.0,3028.75,3142.5,3807.0,3992.4999999999995,4140.9,8,3351.0,6723.0,5250.375,5072.5,6578.8,6650.9,6708.58
