역할,역할 표시명,호출 수,입력 토큰 누적,출력 토큰 누적,총 토큰 누적,입력 토큰 누락 수,출력 토큰 누락 수,총 토큰 누락 수,입력 토큰 집계 수,입력 토큰 최소값,입력 토큰 최대값,입력 토큰 평균값,입력 토큰 중앙값,입력 토큰 p90,입력 토큰 p95,입력 토큰 p99,출력 토큰 집계 수,출력 토큰 최소값,출력 토큰 최대값,출력 토큰 평균값,출력 토큰 중앙값,출력 토큰 p90,출력 토큰 p95,출력 토큰 p99,총 토큰 집계 수,총 토큰 최소값,총 토큰 최대값,총 토큰 평균값,총 토큰 중앙값,총 토큰 p90,총 토큰 p95,총 토큰 p99
overall,전체,273,760435,322160,1082595,0,0,0,273,1283.0,5239.0,2785.4761904761904,2554.0,3481.8,5030.5999999999985,5204.84,273,285.0,4693.0,1180.0732600732601,1000.0,2069.6000000000004,2569.799999999997,3881.9999999999927,273,2073.0,9897.0,3965.5494505494507,3731.0,5031.200000000001,7307.2,8386.84
actor,actor (행위자),136,382949,124841,507790,0,0,0,136,1885.0,3532.0,2815.801470588235,2875.0,3388.5,3418.5,3488.85,136,392.0,2405.0,917.9485294117648,886.5,1440.5,1675.0,2107.8,136,2649.0,5611.0,3733.75,3793.0,4447.0,4815.0,5432.200000000001
coordinator,coordinator (조정),116,327108,171097,498205,0,0,0,116,1674.0,5239.0,2819.896551724138,2378.5,5089.5,5166.5,5217.2,116,285.0,4693.0,1474.9741379310344,1212.5,2743.0,3155.75,4092.75,116,2073.0,9897.0,4294.870689655172,3699.5,7561.0,8104.0,8882.849999999997
generator,generator (생성),8,10302,10752,21054,0,0,0,8,1283.0,1297.0,1287.75,1287.5,1292.1,1294.55,1296.51,8,1083.0,1777.0,1344.0,1322.0,1566.3,1671.6499999999999,1755.9299999999998,8,2367.0,3061.0,2631.75,2610.5,2854.5,2957.75,3040.35
observer,observer (관찰),5,21302,4403,25705,0,0,0,5,1751.0,4893.0,4260.4,4888.0,4892.2,4892.6,4892.92,5,759.0,1193.0,880.6,836.0,1052.6,1122.8,1178.96,5,2593.0,6086.0,5141.0,5661.0,5937.6,6011.8,6071.16
planner,planner (계획),8,18774,11067,29841,0,0,0,8,1804.0,3108.0,2346.75,2262.0,3076.5,3092.25,3104.85,8,536.0,1915.0,1383.375,1374.0,1903.1,1909.05,1913.81,8,3088.0,4544.0,3730.125,3740.0,4449.5,4496.75,4534.55
