행위자 ID,행위자 이름,발신 액션 수,수신 액션 수,발신 연결 수,수신 연결 수,직접 연결 수,상대 수,내향 중심성,외향 중심성,중개 중심성,허브 점수,권위 점수,페이지랭크,코어 번호,유효 크기
lead_investor,리드 투자사 파트너,15,21,23,21,44,2,0.2857142857142857,0.2857142857142857,0.21428571428571427,0.17835950863738767,3.079633843314232e-17,0.24822793251937364,1,2.0
founder_ceo,창업자 CEO,17,24,17,24,41,5,0.7142857142857142,0.2857142857142857,0.47619047619047616,1.478648033097016e-17,0.47287242496022064,0.2606559838259496,2,4.926829268292683
cfo,CFO,10,9,10,9,19,1,0.14285714285714285,0.14285714285714285,0.0,9.857653553980106e-18,0.08434129336407492,0.10131201374835648,1,1.0
tech_journalist,테크 전문 기자,8,10,8,10,18,2,0.2857142857142857,0.2857142857142857,0.21428571428571427,0.22582058814540973,1.539816921657116e-17,0.18391453811566533,2,2.0
cofounder_cto,공동창업자 CTO,7,3,7,3,10,3,0.14285714285714285,0.42857142857142855,0.11904761904761904,0.2660978372872309,0.08434129336407496,0.04447426280393185,2,2.892
whistleblower_engineer,내부고발자 엔지니어,4,5,4,5,9,2,0.2857142857142857,0.14285714285714285,0.0,4.928826776990053e-18,0.23261465871694623,0.10231348419624195,2,2.0
independent_director,독립 사외이사,4,4,4,4,8,2,0.14285714285714285,0.2857142857142857,0.0,0.17835950863738773,0.12583032959468307,0.040351784790481265,2,1.74
customer_cto,핵심 고객사 CTO,3,0,3,0,3,1,0.0,0.14285714285714285,0.0,0.151362557292584,-0.0,0.018750000000000003,1,1.0
